"Market", "Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"NYSE","BXC","BlueLinx Holdings Inc.","8.85","$79.93M","2004","Capital Goods","Wholesale Distributors","http://www.nasdaq.com/symbol/bxc",
"NYSE","BWP","Boardwalk Pipeline Partners L.P.","17.19","$4.3B","2005","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/bwp",
"NYSE","BA","Boeing Company (The)","134.66","$84B","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/ba",
"NYSE","BCC","Boise Cascade, L.L.C.","24.97","$967.6M","2013","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/bcc",
"NYSE","BCEI","Bonanza Creek Energy, Inc.","1.05","$52.21M","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bcei",
"NYSE","BOOT","Boot Barn Holdings, Inc.","11.05","$292.02M","2014","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/boot",
"NYSE","BAH","Booz Allen Hamilton Holding Corporation","30.31","$4.5B","2010","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/bah",
"NYSE","BWA","BorgWarner Inc.","36.3","$7.78B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/bwa",
"NYSE","SAM","Boston Beer Company, Inc. (The)","155.03","$1.93B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/sam",
"NYSE","BXP","Boston Properties, Inc.","128.33","$19.72B","1997","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/bxp",
"NYSE","BXP^B","Boston Properties, Inc.","26.1","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bxp^b",
"NYSE","BSX","Boston Scientific Corporation","23.43","$31.88B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bsx",
"NYSE","BOX","Box, Inc.","16.15","$2.06B","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/box",
"NYSE","BYD","Boyd Gaming Corporation","19.77","$2.22B","1993","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/byd",
"NYSE","BP","BP p.l.c.","36.03","$112.87B","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/bp",
"NYSE","BPT","BP Prudhoe Bay Royalty Trust","20","$428M","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/bpt",
"NYSE","BERY","BPC Acquisition Corp","43.44","$5.28B","2012","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/bery",
"NYSE","BRC","Brady Corporation","35.36","$1.79B","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/brc",
"NYSE","BDN^E","Brandywine Realty Tr","25.55","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bdn^e",
"NYSE","BDN","Brandywine Realty Trust","14.71","$2.58B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/bdn",
"NYSE","LND","Brasilagro Cia Brasileira De Propriedades Agricolas","3.54","$201.39M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lnd",
"NYSE","BAK","Braskem S.A.","15.7","$6.26B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/bak",
"NYSE","BRFS","BRF S.A.","17.7","$14.14B","n/a","Consumer Non-Durables","Meat/Poultry/Fish","http://www.nasdaq.com/symbol/brfs",
"NYSE","BPI","Bridgepoint Education, Inc.","6.93","$320.93M","2009","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/bpi",
"NYSE","BGG","Briggs & Stratton Corporation","19.57","$843.7M","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bgg",
"NYSE","BFAM","Bright Horizons Family Solutions Inc.","66.26","$3.9B","2013","Miscellaneous","Other Consumer Services","http://www.nasdaq.com/symbol/bfam",
"NYSE","EAT","Brinker International, Inc.","50.13","$2.75B","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/eat",
"NYSE","BCO","Brink&#39;s Company (The)","37.16","$1.84B","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/bco",
"NYSE","BMY","Bristol-Myers Squibb Company","54.79","$91.55B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bmy",
"NYSE","BRS","Bristow Group Inc","15.1","$529.46M","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/brs",
"NYSE","BRX","Brixmor Property Group Inc.","26.19","$7.89B","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brx",
"NYSE","BR","Broadridge Financial Solutions, Inc.","67.32","$7.96B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/br",
"NYSE","BKD","Brookdale Senior Living Inc.","16.96","$3.15B","2005","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/bkd",
"NYSE","BAM","Brookfield Asset Management Inc","35.62","$35.17B","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/bam",
"NYSE","BBU","Brookfield Business Partners L.P.","24.79","$1.09B","2016","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/bbu",
"NYSE","BOXC","Brookfield Canada Office Properties","20.78","$548.13M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/boxc",
"NYSE","DTLA^","Brookfield DTLA Inc.","21.06","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dtla^",
"NYSE","INF","Brookfield Global Listed Infrastructure Income Fund","13.31","$183.67M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/inf",
"NYSE","HHY","Brookfield High Income Fund Inc.","7.3","$186.39M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hhy",
"NYSE","BIP","Brookfield Infrastructure Partners LP","33.85","$8.24B","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/bip",
"NYSE","BOI","Brookfield Mortgage Opportunity Income Fund Inc.","14.86","$337.53M","2013","n/a","n/a","http://www.nasdaq.com/symbol/boi",
"NYSE","BPY","Brookfield Property Partners L.P.","22.02","$5.77B","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/bpy",
"NYSE","BEP","Brookfield Renewable Partners L.P.","30.2","$5.04B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/bep",
"NYSE","HTR","Brookfield Total Return Fund Inc.","22.17","$309.53M","1989","n/a","n/a","http://www.nasdaq.com/symbol/htr",
"NYSE","BRO","Brown & Brown, Inc.","37.94","$5.3B","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/bro",
"NYSE","BF.A","Brown Forman Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bf.a",
"NYSE","BF.B","Brown Forman Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bf.b",
"NYSE","BRT","BRT Realty Trust","7.82","$108.75M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brt",
"NYSE","BC","Brunswick Corporation","49.33","$4.45B","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bc",
"NYSE","BT","BT Group plc","24.56","$48.93B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/bt",
"NYSE","BPL","Buckeye Partners L.P.","69.23","$9.07B","1986","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bpl",
"NYSE","BKE","Buckle, Inc. (The)","23.65","$1.15B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/bke",
"NYSE","BVN","Buenaventura Mining Company Inc.","12.56","$3.19B","1996","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/bvn",
"NYSE","BBW","Build-A-Bear Workshop, Inc.","10.57","$167.58M","2004","Consumer Services","Recreational Products/Toys","http://www.nasdaq.com/symbol/bbw",
"NYSE","BG","Bunge Limited","60.94","$8.5B","2001","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/bg",
"NYSE","BURL","Burlington Stores, Inc.","79.61","$5.68B","2013","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/burl",
"NYSE","BWXT","BWX Technologies, Inc.","38.19","$3.95B","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bwxt",
"NYSE","BCR","C.R. Bard, Inc.","221.36","$16.26B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bcr",
"NYSE","GYB","CABCO Series 2004-101 Trust","22.7","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/gyb",
"NYSE","PFH","CABCO Series 2004-101 Trust","19.8799","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/pfh",
"NYSE","CAB","Cabela&#39;s Inc","63.38","$4.34B","2004","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/cab",
"NYSE","CABO","Cable One, Inc.","577.76","$3.3B","2015","Consumer Services","Television Services","http://www.nasdaq.com/symbol/cabo",
"NYSE","CBT","Cabot Corporation","52.42","$3.27B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/cbt",
"NYSE","COG","Cabot Oil & Gas Corporation","25.69","$11.95B","1990","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cog",
"NYSE","CACI","CACI International, Inc.","101.46","$2.47B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/caci",
"NYSE","CAE","CAE Inc","14.29","$3.84B","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cae",
"NYSE","CAI","CAI International, Inc.","8.65","$166.58M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/cai",
"NYSE","CAA","CalAtlantic Group, Inc.","33.14","$3.92B","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/caa",
"NYSE","CAL","Caleres, Inc.","26.24","$1.13B","n/a","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/cal",
"NYSE","CCC","Calgon Carbon Corporation","16.14","$817.07M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ccc",
"NYSE","CRC","California Resources Corporation","11.94","$490.74M","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crc",
"NYSE","CWT","California Water  Service Group Holding","30.84","$1.48B","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/cwt",
"NYSE","CALX","Calix, Inc","7.32","$357.09M","2010","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/calx",
"NYSE","ELY","Callaway Golf Company","11.22","$1.06B","1992","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/ely",
"NYSE","CPE","Callon Petroleum Company","15.67","$2.05B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cpe",
"NYSE","CPE^A","Callon Petroleum Company","52.63","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cpe^a",
"NYSE","CPN","Calpine Corporation","12.33","$4.43B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cpn",
"NYSE","CBM","Cambrex Corporation","45.18","$1.45B","1987","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cbm",
